id	filename	md5	size	state
381ee1ed-c103-45f8-a5d7-a050d2116600	381ee1ed-c103-45f8-a5d7-a050d2116600/50d2920a-5f54-494b-915f-4c48fecd41a7.wxs.aliquot_ensemble_masked.maf.gz	435fdf63e0d3e65da46470cf712dd29d	34251	validated
38855715-405c-422a-b97d-766f57dd440d	38855715-405c-422a-b97d-766f57dd440d/c1a777c5-6a76-4b3f-b3df-68b04e09e3e9.wxs.aliquot_ensemble_masked.maf.gz	123d6e16195ff9c7594730427dc4f7f5	23526	validated
38d1b32d-026a-420b-bafb-566e61df2c5f	38d1b32d-026a-420b-bafb-566e61df2c5f/9eb6876e-7e93-4cdb-a903-363d44c5e72b.wxs.aliquot_ensemble_masked.maf.gz	1c74f3456a00ad0c19ac6073b5840744	13615	validated
3ad287b7-5961-4a87-b6c0-f2b7a2690c1b	3ad287b7-5961-4a87-b6c0-f2b7a2690c1b/ccf6c514-dbbb-40c0-8dca-d71218cc63b5.wxs.aliquot_ensemble_masked.maf.gz	28a6129d09f1d40bd05368352587873f	20721	validated
3ddbeed6-05ab-4ccb-adb9-13fda8fc56eb	3ddbeed6-05ab-4ccb-adb9-13fda8fc56eb/cf2db31d-de1d-49df-b76c-ae28e6da112f.wxs.aliquot_ensemble_masked.maf.gz	87c1d78ad34a371acf96017c930efd9b	21520	validated
3e42cd2d-a7fa-47f2-93f0-7ad79118e51e	3e42cd2d-a7fa-47f2-93f0-7ad79118e51e/8b7b964a-e8c4-4d17-8dd8-cf86a5eddeed.wxs.aliquot_ensemble_masked.maf.gz	e461c212f4caad7895e6a343ca93f30b	13131	validated
3e607b6d-d7f4-4dd5-b477-2150e900d1e3	3e607b6d-d7f4-4dd5-b477-2150e900d1e3/e85f31d6-934f-42db-a3b3-c8014e4850cb.wxs.aliquot_ensemble_masked.maf.gz	8f00141a1443e2ca5c86f715b8ba2fd5	14454	validated
3ed7c948-ca2d-4bd2-996e-6663fc613069	3ed7c948-ca2d-4bd2-996e-6663fc613069/d1ce567d-67aa-4db0-8efd-7d5a84177f60.wxs.aliquot_ensemble_masked.maf.gz	798a1c0bb615bc9e0f2679cce4e433e7	28100	validated
3fa9075d-b80e-43cb-b8b5-82fd621c343a	3fa9075d-b80e-43cb-b8b5-82fd621c343a/ece2d8c2-ac72-43c8-82d6-d1f997701fb9.wxs.aliquot_ensemble_masked.maf.gz	af4a97b74a779f539c02f1e6ea91d624	7471	validated
420f7315-4ca3-432c-a958-9ccc88e7e2d5	420f7315-4ca3-432c-a958-9ccc88e7e2d5/643ec18c-131a-4c9f-95e4-bb235723691d.wxs.aliquot_ensemble_masked.maf.gz	f08910162b7b61f6cea7f03919f5b6e0	27125	validated
